Date,Name,Start,End,Duration,DistanceFromHomeInKm
01/06/14,Place in International Arrivals Building,2014-06-01T01:52:19+01:00,2014-06-01T03:05:38+01:00,4399,5916
01/06/14,Place in Franklin McPherson Square,2014-06-01T03:46:49+01:00,2014-06-01T04:58:33+01:00,4304,5892
01/06/14,Place in Northwest Rectangle,2014-06-01T10:29:54+01:00,2014-06-01T10:35:41+01:00,347,5895
01/06/14,Place in Northwest Rectangle,2014-06-01T10:35:41+01:00,2014-06-01T10:44:04+01:00,503,5895
01/06/14,Place in Northwest Rectangle,2014-06-01T10:53:56+01:00,2014-06-01T10:57:02+01:00,186,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T11:29:59+01:00,2014-06-01T11:35:05+01:00,306,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T11:38:18+01:00,2014-06-01T11:44:35+01:00,377,5895
01/06/14,Place in West End,2014-06-01T12:23:25+01:00,2014-06-01T13:15:38+01:00,3133,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T13:23:38+01:00,2014-06-01T16:42:40+01:00,11942,5892
01/06/14,Place in Franklin McPherson Square,2014-06-01T16:48:48+01:00,2014-06-01T17:29:20+01:00,2432,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T17:37:52+01:00,2014-06-01T19:05:24+01:00,5252,5892
01/06/14,Place in Woodley Park,2014-06-01T19:20:45+01:00,2014-06-01T21:13:23+01:00,6758,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T21:44:44+01:00,2014-06-01T23:10:24+01:00,5140,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T23:13:34+01:00,2014-06-01T23:17:31+01:00,237,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T23:20:35+01:00,2014-06-02T00:00:00+01:00,2365,5892
02/06/14,Place in Franklin McPherson Square,2014-06-02T00:00:00+01:00,2014-06-02T03:23:52+01:00,12232,5892
02/06/14,Place in Franklin McPherson Square,2014-06-02T09:09:43+01:00,2014-06-02T12:35:09+01:00,12326,5892
02/06/14,Place in Woodley Park,2014-06-02T12:54:18+01:00,2014-06-02T20:13:01+01:00,26323,5895
02/06/14,Place in Franklin McPherson Square,2014-06-02T20:26:17+01:00,2014-06-02T20:54:08+01:00,1671,5892
03/06/14,Place in East End,2014-06-03T02:22:21+01:00,2014-06-03T02:28:33+01:00,372,5892
03/06/14,Place in Thomas Circle,2014-06-03T02:54:18+01:00,2014-06-03T03:55:46+01:00,3688,5892
03/06/14,Place in Kalorama Triangle,2014-06-03T04:08:18+01:00,2014-06-03T04:25:23+01:00,1025,5892
03/06/14,Place in Franklin McPherson Square,2014-06-03T04:34:37+01:00,2014-06-03T05:01:13+01:00,1596,5892
03/06/14,Place in Franklin McPherson Square,2014-06-03T11:33:47+01:00,2014-06-03T18:12:32+01:00,23925,5892
03/06/14,Place in Woodley Park,2014-06-03T18:30:53+01:00,2014-06-03T21:50:05+01:00,11952,5895
03/06/14,Place in Woodley Park,2014-06-03T21:55:32+01:00,2014-06-03T22:12:26+01:00,1014,5892
03/06/14,Place in Washington Dulles International Airport,2014-06-03T23:15:01+01:00,2014-06-03T23:35:16+01:00,1215,5916
03/06/14,Place in Concourse B,2014-06-03T23:38:31+01:00,2014-06-04T00:00:00+01:00,1289,5919
04/06/14,Place in Concourse B,2014-06-04T00:00:00+01:00,2014-06-04T00:17:23+01:00,1043,5919
04/06/14,Place in Washington Dulles International Airport,2014-06-04T00:22:00+01:00,2014-06-04T03:04:24+01:00,9744,5916
04/06/14,Place in Washington Dulles International Airport,2014-06-04T03:04:24+01:00,2014-06-04T03:17:15+01:00,771,5916
04/06/14,Place in --,2014-06-04T11:16:39+01:00,2014-06-04T11:27:29+01:00,650,
04/06/14,Place in London Borough of Enfield,2014-06-04T13:49:33+01:00,2014-06-05T00:00:00+01:00,36627,0
05/06/14,Place in London Borough of Enfield,2014-06-05T00:00:00+01:00,2014-06-05T00:06:32+01:00,392,0
05/06/14,Place in London Borough of Enfield,2014-06-05T01:07:02+01:00,2014-06-05T21:28:17+01:00,73275,0
06/06/14,Place in London Borough of Hackney,2014-06-06T08:43:23+01:00,2014-06-06T08:52:13+01:00,530,15
06/06/14,Place in London Borough of Hackney,2014-06-06T08:57:49+01:00,2014-06-06T09:12:22+01:00,873,15
06/06/14,Place in London Congestion Charge,2014-06-06T09:31:18+01:00,2014-06-06T09:36:57+01:00,339,15
06/06/14,Place in London Congestion Charge,2014-06-06T09:44:01+01:00,2014-06-06T09:48:25+01:00,264,15
06/06/14,Place in London Congestion Charge,2014-06-06T10:00:04+01:00,2014-06-06T10:03:20+01:00,196,15
06/06/14,Place in London Congestion Charge,2014-06-06T10:07:12+01:00,2014-06-06T11:06:33+01:00,3561,15
06/06/14,Place in Percival Street Estate,2014-06-06T11:20:02+01:00,2014-06-06T13:01:39+01:00,6097,15
06/06/14,Place in London Congestion Charge,2014-06-06T13:15:01+01:00,2014-06-06T18:05:26+01:00,17425,15
06/06/14,Place in London Congestion Charge,2014-06-06T18:22:34+01:00,2014-06-06T18:28:27+01:00,353,15
06/06/14,Place in London Borough of Enfield,2014-06-06T18:59:34+01:00,2014-06-07T00:00:00+01:00,18026,0
07/06/14,Place in London Borough of Enfield,2014-06-07T00:00:00+01:00,2014-06-07T13:36:53+01:00,49013,0
08/06/14,Place in London Borough of Enfield,2014-06-08T10:54:47+01:00,2014-06-08T10:58:30+01:00,223,0
08/06/14,Place in London Borough of Enfield,2014-06-08T11:17:42+01:00,2014-06-08T11:20:42+01:00,180,0
08/06/14,Place in London Borough of Enfield,2014-06-08T11:25:16+01:00,2014-06-08T11:31:02+01:00,346,3
08/06/14,Place in London Borough of Enfield,2014-06-08T11:50:25+01:00,2014-06-08T11:53:25+01:00,180,0
08/06/14,Place in London Borough of Enfield,2014-06-08T11:53:55+01:00,2014-06-08T14:56:33+01:00,10958,0
08/06/14,Place in London Borough of Harrow,2014-06-08T15:53:04+01:00,2014-06-08T16:54:17+01:00,3673,21
08/06/14,Place in London Borough of Harrow,2014-06-08T16:59:05+01:00,2014-06-08T17:27:41+01:00,1716,21
08/06/14,Place in London Borough of Harrow,2014-06-08T17:40:52+01:00,2014-06-08T18:55:26+01:00,4474,24
08/06/14,Place in London Borough of Enfield,2014-06-08T19:35:03+01:00,2014-06-08T22:24:32+01:00,10169,0
10/06/14,Place in London Borough of Enfield,2014-06-10T07:25:22+01:00,2014-06-10T07:32:38+01:00,436,0
10/06/14,Place in London Congestion Charge,2014-06-10T08:34:06+01:00,2014-06-10T09:32:02+01:00,3476,15
10/06/14,Place in London Congestion Charge,2014-06-10T09:44:32+01:00,2014-06-10T12:24:19+01:00,9587,15
10/06/14,Place in London Congestion Charge,2014-06-10T12:44:19+01:00,2014-06-10T12:50:58+01:00,399,18
10/06/14,Place in London Congestion Charge,2014-06-10T13:06:27+01:00,2014-06-10T13:10:24+01:00,237,18
10/06/14,Place in London Congestion Charge,2014-06-10T13:24:34+01:00,2014-06-10T13:36:45+01:00,731,18
10/06/14,Place in London Congestion Charge,2014-06-10T13:48:26+01:00,2014-06-10T16:23:10+01:00,9284,18
10/06/14,Place in London Congestion Charge,2014-06-10T16:38:32+01:00,2014-06-10T17:56:57+01:00,4705,15
10/06/14,Place in London Congestion Charge,2014-06-10T18:03:06+01:00,2014-06-10T18:07:52+01:00,286,15
10/06/14,Place in London Congestion Charge,2014-06-10T18:16:43+01:00,2014-06-10T18:41:21+01:00,1478,15
10/06/14,Place in London Borough of Enfield,2014-06-10T19:18:48+01:00,2014-06-10T19:20:51+01:00,123,0
10/06/14,Place in London Borough of Enfield,2014-06-10T19:39:18+01:00,2014-06-10T20:16:31+01:00,2233,0
11/06/14,Place in London Borough of Enfield,2014-06-11T13:49:07+01:00,2014-06-11T23:27:08+01:00,34681,0
12/06/14,Place in London Borough of Enfield,2014-06-12T08:36:19+01:00,2014-06-12T22:16:30+01:00,49211,0
13/06/14,Place in London Borough of Enfield,2014-06-13T06:29:23+01:00,2014-06-13T07:32:14+01:00,3771,0
13/06/14,Place in London Congestion Charge,2014-06-13T08:27:44+01:00,2014-06-13T08:36:44+01:00,540,15
13/06/14,Place in The Maudsley Hospital,2014-06-13T08:58:42+01:00,2014-06-13T10:34:56+01:00,5774,21
13/06/14,Place in Brunswick Park,2014-06-13T10:34:57+01:00,2014-06-13T10:53:47+01:00,1130,21
13/06/14,Place in London Congestion Charge,2014-06-13T11:21:22+01:00,2014-06-13T11:23:40+01:00,138,15
13/06/14,Place in London Congestion Charge,2014-06-13T11:28:49+01:00,2014-06-13T12:26:59+01:00,3490,15
13/06/14,Place in London Congestion Charge,2014-06-13T12:45:24+01:00,2014-06-13T13:55:44+01:00,4220,15
13/06/14,Place in London Congestion Charge,2014-06-13T14:02:34+01:00,2014-06-13T14:06:50+01:00,256,15
13/06/14,Place in London Congestion Charge,2014-06-13T14:21:34+01:00,2014-06-13T18:02:42+01:00,13268,15
13/06/14,Place in London Borough of Enfield,2014-06-13T19:00:39+01:00,2014-06-14T00:00:00+01:00,17961,0
14/06/14,Place in London Borough of Enfield,2014-06-14T00:00:00+01:00,2014-06-14T00:13:07+01:00,787,0
14/06/14,Place in London Borough of Enfield,2014-06-14T00:54:08+01:00,2014-06-14T05:45:19+01:00,17471,0
14/06/14,Place in Parliament Square,2014-06-14T06:51:14+01:00,2014-06-14T06:54:36+01:00,202,18
14/06/14,Place in London Congestion Charge,2014-06-14T07:12:10+01:00,2014-06-14T07:17:17+01:00,307,18
14/06/14,Place in London Congestion Charge,2014-06-14T07:36:50+01:00,2014-06-14T07:52:42+01:00,952,15
14/06/14,Place in London Borough of Enfield,2014-06-14T08:33:00+01:00,2014-06-14T08:42:21+01:00,561,0
14/06/14,Place in London Borough of Enfield,2014-06-14T08:49:52+01:00,2014-06-14T14:13:20+01:00,19408,0
15/06/14,Place in London Borough of Enfield,2014-06-15T07:51:34+01:00,2014-06-15T16:00:48+01:00,29354,0
16/06/14,Place in London Borough of Enfield,2014-06-16T08:52:53+01:00,2014-06-17T00:00:00+01:00,54427,0
17/06/14,Place in London Borough of Enfield,2014-06-17T00:00:00+01:00,2014-06-17T07:26:10+01:00,26770,0
17/06/14,Place in London Borough of Enfield,2014-06-17T07:30:47+01:00,2014-06-17T07:42:09+01:00,682,0
17/06/14,Place in Berkshire,2014-06-17T09:53:55+01:00,2014-06-17T13:31:13+01:00,13038,75
17/06/14,Place in Berkshire,2014-06-17T13:36:43+01:00,2014-06-17T14:18:23+01:00,2500,75
17/06/14,Place in Berkshire,2014-06-17T14:23:10+01:00,2014-06-18T00:00:00+01:00,34610,75
18/06/14,Place in Berkshire,2014-06-18T00:00:00+01:00,2014-06-18T00:06:11+01:00,371,75
18/06/14,Place in Berkshire,2014-06-18T10:55:40+01:00,2014-06-18T11:15:53+01:00,1213,69
18/06/14,Place in London Congestion Charge,2014-06-18T12:52:53+01:00,2014-06-18T16:19:37+01:00,12404,15
18/06/14,Place in London Congestion Charge,2014-06-18T16:28:13+01:00,2014-06-18T19:53:19+01:00,12306,15
18/06/14,Place in London Borough of Enfield,2014-06-18T21:01:54+01:00,2014-06-19T00:00:00+01:00,10686,0
19/06/14,Place in London Borough of Enfield,2014-06-19T00:00:00+01:00,2014-06-19T21:46:22+01:00,78382,0
20/06/14,Place in London Borough of Enfield,2014-06-20T10:39:23+01:00,2014-06-20T10:48:24+01:00,541,0
20/06/14,Place in Chase Farm Hospital,2014-06-20T11:09:45+01:00,2014-06-20T13:31:38+01:00,8513,3
20/06/14,Place in London Borough of Enfield,2014-06-20T13:43:25+01:00,2014-06-20T16:48:55+01:00,11130,0
21/06/14,Place in London Borough of Enfield,2014-06-21T04:35:11+01:00,2014-06-22T00:00:00+01:00,69889,0
22/06/14,Place in London Borough of Enfield,2014-06-22T00:00:00+01:00,2014-06-22T12:18:26+01:00,44306,0
23/06/14,Place in Butler's Wharf,2014-06-23T17:37:00+01:00,2014-06-23T17:49:24+01:00,744,18
23/06/14,Place in Butler's Wharf,2014-06-23T17:56:09+01:00,2014-06-23T20:49:34+01:00,10405,18
23/06/14,Place in London Borough of Enfield,2014-06-23T21:38:03+01:00,2014-06-23T22:44:41+01:00,3998,0
24/06/14,Place in London Borough of Enfield,2014-06-24T01:52:03+01:00,2014-06-24T07:24:24+01:00,19941,0
24/06/14,Place in London Borough of Enfield,2014-06-24T07:24:24+01:00,2014-06-24T07:38:50+01:00,866,0
24/06/14,Place in London Borough of Tower Hamlets,2014-06-24T08:25:31+01:00,2014-06-24T08:53:15+01:00,1664,15
24/06/14,Place in Mile End Hospital,2014-06-24T09:13:08+01:00,2014-06-24T13:36:59+01:00,15831,15
24/06/14,Place in Queen Mary (University of London),2014-06-24T13:44:52+01:00,2014-06-24T15:33:39+01:00,6527,15
24/06/14,Place in London Borough of Tower Hamlets,2014-06-24T15:40:28+01:00,2014-06-24T15:49:29+01:00,541,15
24/06/14,Place in London Congestion Charge,2014-06-24T16:58:13+01:00,2014-06-24T19:49:18+01:00,10265,15
24/06/14,Place in London Congestion Charge,2014-06-24T19:58:15+01:00,2014-06-24T20:02:06+01:00,231,15
24/06/14,Place in London Borough of Enfield,2014-06-24T20:45:23+01:00,2014-06-25T00:00:00+01:00,11677,0
25/06/14,Place in London Borough of Enfield,2014-06-25T00:00:00+01:00,2014-06-25T10:46:29+01:00,38789,0
25/06/14,Place in London Borough of Enfield,2014-06-25T11:15:06+01:00,2014-06-26T00:00:00+01:00,45894,0
26/06/14,Place in London Borough of Enfield,2014-06-26T00:00:00+01:00,2014-06-26T07:39:28+01:00,27568,0
26/06/14,Place in London Borough of Enfield,2014-06-26T12:36:21+01:00,2014-06-27T00:00:00+01:00,41019,0
27/06/14,Place in London Borough of Enfield,2014-06-27T00:00:00+01:00,2014-06-27T05:05:57+01:00,18357,0
27/06/14,Place in London Congestion Charge,2014-06-27T07:07:18+01:00,2014-06-27T08:04:45+01:00,3447,15
27/06/14,Place in London Congestion Charge,2014-06-27T08:31:21+01:00,2014-06-27T11:25:30+01:00,10449,15
27/06/14,Place in London Congestion Charge,2014-06-27T11:42:14+01:00,2014-06-27T12:41:17+01:00,3543,15
27/06/14,Place in London Congestion Charge,2014-06-27T12:54:12+01:00,2014-06-27T13:34:46+01:00,2434,15
27/06/14,Place in London Congestion Charge,2014-06-27T13:50:51+01:00,2014-06-27T14:52:09+01:00,3678,15
27/06/14,Place in London Congestion Charge,2014-06-27T14:59:43+01:00,2014-06-27T19:30:40+01:00,16257,15
27/06/14,Place in London Congestion Charge,2014-06-27T19:48:26+01:00,2014-06-27T19:59:55+01:00,689,15
27/06/14,Place in London Congestion Charge,2014-06-27T19:59:56+01:00,2014-06-27T20:13:26+01:00,810,15
27/06/14,Place in London Borough of Enfield,2014-06-27T20:45:26+01:00,2014-06-28T00:00:00+01:00,11674,0
28/06/14,Place in London Borough of Enfield,2014-06-28T00:00:00+01:00,2014-06-28T15:03:18+01:00,54198,0
28/06/14,Place in London Borough of Enfield,2014-06-28T22:16:46+01:00,2014-06-29T00:00:00+01:00,6194,0
29/06/14,Place in London Borough of Enfield,2014-06-29T00:00:00+01:00,2014-06-29T01:33:38+01:00,5618,0
29/06/14,Place in London Borough of Enfield,2014-06-29T13:04:24+01:00,2014-06-29T23:42:47+01:00,38303,0
30/06/14,Place in London Borough of Enfield,2014-06-30T06:43:27+01:00,2014-06-30T07:53:52+01:00,4225,0
30/06/14,Place in London Borough of Enfield,2014-06-30T10:58:55+01:00,2014-06-30T20:58:06+01:00,35951,0
30/06/14,Place in London Borough of Enfield,2014-06-30T22:46:17+01:00,2014-07-01T00:00:00+01:00,4423,0
